callsign,landingTime,ifdelayed,eventTime1,eventTime2,utcTime,localTime,aircraftModel,aircraftModel2,fleetID,owner,airlineName,airportOriginName,airportOriginCode1,airportOriginCode2,airportOriginLat,airportOriginLng,airportOriginCountry,airportOriginOffset,airportDestName,airportDestCode1,airportDestCode2,airportDestLat,airportDestLng,airportDestCountry,airportDestOffset,timeScheduleDeparture,timeScheduleArrival,timeRealDeparture,timeRealArrival,duration,id,airportOriginCity,airportDestCity,realDepartTime,realDepartTime_local,realArriveTime,realArriveTime_local,from_to,from_to_2,route
CAL008,Landed 18:34,yellow,1546310040,1546281240,2019/1/1 2:34,2018/12/31 18:34,B77W,Boeing 777-309(ER),B-18001,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Los Angeles International Airport,LAX,KLAX,33.94252,-118.406998,United States,-28800,1546271400,1546310265,1546272495,1546310040,37560,1,Taipei,Los Angeles,2018/12/31 16:08,2019/1/1 0:08,2019/1/1 2:34,2018/12/31 18:34,Taiwan_United States,Taipei_Los Angeles,Taiwan_United States
CAL007,Landed 04:27,green,1546374479,1546403279,2019/1/1 20:27,2019/1/2 4:27,B77W,Boeing 777-309(ER),B-18001,China Airlines,China Airlines,Los Angeles International Airport,LAX,KLAX,33.94252,-118.406998,United States,-28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546325100,1546377300,1546326591,1546374479,47880,1,Los Angeles,Taipei,2019/1/1 7:09,2018/12/31 23:09,2019/1/1 20:27,2019/1/2 4:27,United States_Taiwan,Los Angeles_Taipei,Taiwan_United States
CAL721,Landed 13:19,green,1546406381,1546435181,2019/1/2 5:19,2019/1/2 13:19,B77W,Boeing 777-309(ER),B-18001,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Kuala Lumpur International Airport,KUL,WMKK,2.745578,101.7099,Malaysia,28800,1546389000,1546406100,1546390753,1546406381,15600,1,Taipei,Kuala Lumpur,2019/1/2 0:59,2019/1/2 8:59,2019/1/2 5:19,2019/1/2 13:19,Taiwan_Malaysia,Taipei_Kuala Lumpur,Taiwan_Malaysia
CAL722,Landed 19:22,yellow,1546428122,1546456922,2019/1/2 11:22,2019/1/2 19:22,B77W,Boeing 777-309(ER),B-18001,China Airlines,China Airlines,Kuala Lumpur International Airport,KUL,WMKK,2.745578,101.7099,Malaysia,28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546410300,1546426800,1546412287,1546428122,15840,1,Kuala Lumpur,Taipei,2019/1/2 6:58,2019/1/2 14:58,2019/1/2 11:22,2019/1/2 19:22,Malaysia_Taiwan,Kuala Lumpur_Taipei,Taiwan_Malaysia
CAL008,Landed 18:55,green,1546484124,1546455324,2019/1/3 2:55,2019/1/2 18:55,B77W,Boeing 777-309(ER),B-18001,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Los Angeles International Airport,LAX,KLAX,33.94252,-118.406998,United States,-28800,1546444200,1546486500,1546446727,1546484124,37380,1,Taipei,Los Angeles,2019/1/2 16:32,2019/1/3 0:32,2019/1/3 2:55,2019/1/2 18:55,Taiwan_United States,Taipei_Los Angeles,Taiwan_United States
CAL007,Landed 05:21,red,1546550519,1546579319,2019/1/3 21:21,2019/1/4 5:21,B77W,Boeing 777-309(ER),B-18001,China Airlines,China Airlines,Los Angeles International Airport,LAX,KLAX,33.94252,-118.406998,United States,-28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546497900,1546550100,1546504190,1546550519,46320,1,Los Angeles,Taipei,2019/1/3 8:29,2019/1/3 0:29,2019/1/3 21:21,2019/1/4 5:21,United States_Taiwan,Los Angeles_Taipei,Taiwan_United States
CAL057,Landed 11:48,green,1546649285,1546688885,2019/1/5 0:48,2019/1/5 11:48,B77W,Boeing 777-309(ER),B-18001,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Melbourne Airport,MEL,YMML,-37.673302,144.843307,Australia,39600,1546615500,1546649700,1546618012,1546649285,31260,1,Taipei,Melbourne,2019/1/4 16:06,2019/1/5 0:06,2019/1/5 0:48,2019/1/5 11:48,Taiwan_Australia,Taipei_Melbourne,Taiwan_Australia
CAL156,Landed 11:52,green,1546743146,1546775546,2019/1/6 2:52,2019/1/6 11:52,B77W,Boeing 777-309(ER),B-18001,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Osaka Kansai International Airport,KIX,RJBB,34.427299,135.244003,Japan,32400,1546733400,1546742400,1546736506,1546743146,6660,1,Taipei,Osaka,2019/1/6 1:01,2019/1/6 9:01,2019/1/6 2:52,2019/1/6 11:52,Taiwan_Japan,Taipei_Osaka,Taiwan_Japan
CAL157,Landed 15:07,green,1546758440,1546787240,2019/1/6 7:07,2019/1/6 15:07,B77W,Boeing 777-309(ER),B-18001,China Airlines,China Airlines,Osaka Kansai International Airport,KIX,RJBB,34.427299,135.244003,Japan,32400,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546746600,1546758000,1546748007,1546758440,10440,1,Osaka,Taipei,2019/1/6 4:13,2019/1/6 13:13,2019/1/6 7:07,2019/1/6 15:07,Japan_Taiwan,Osaka_Taipei,Taiwan_Japan
CAL057,Landed 11:34,green,1546821293,1546860893,2019/1/7 0:34,2019/1/7 11:34,B77W,Boeing 777-309(ER),B-18001,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Melbourne Airport,MEL,YMML,-37.673302,144.843307,Australia,39600,1546788300,1546822500,1546790290,1546821293,31020,1,Taipei,Melbourne,2019/1/6 15:58,2019/1/6 23:58,2019/1/7 0:34,2019/1/7 11:34,Taiwan_Australia,Taipei_Melbourne,Taiwan_Australia
CAL058,Landed 04:46,green,1546893960,1546922760,2019/1/7 20:46,2019/1/8 4:46,B77W,Boeing 777-309(ER),B-18001,China Airlines,China Airlines,Melbourne Airport,MEL,YMML,-37.673302,144.843307,Australia,39600,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546863000,1546896900,1546863507,1546893960,30480,1,Melbourne,Taipei,2019/1/7 12:18,2019/1/7 23:18,2019/1/7 20:46,2019/1/8 4:46,Australia_Taiwan,Melbourne_Taipei,Taiwan_Australia
CAL771,Landed 14:20,green,1546323608,1546352408,2019/1/1 6:20,2019/1/1 14:20,B77W,Boeing 777-309(ER),B-18002,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Denpasar Ngurah Rai International Airport,DPS,WADD,-8.74816,115.167099,Indonesia,28800,1546305000,1546324800,1546305975,1546323608,17640,2,Taipei,Denpasar,2019/1/1 1:26,2019/1/1 9:26,2019/1/1 6:20,2019/1/1 14:20,Taiwan_Indonesia,Taipei_Denpasar,Taiwan_Indonesia
